,player,nationality,position,squad,age,birth_year,value,height,position2,foot,league,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,goalsm,assistsm,pens_madem,pens_attm,cards_yellowm,cards_redm,goals_per90m,assists_per90m,goals_assists_per90m,goals_pens_per90m,goals_assists_pens_per90m,xgm,npxgm,xam,xg_per90m,xa_per90m,xg_xa_per90m,npxg_per90m,npxg_xa_per90m,minutes_90sm,shots_totalm,shots_on_targetm,shots_free_kicksm,shots_on_target_pctm,shots_total_per90m,shots_on_target_per90m,goals_per_shotm,goals_per_shot_on_targetm,npxg_per_shotm,xg_netm,npxg_netm,passes_completedm,passesm,passes_pctm,passes_total_distancem,passes_progressive_distancem,passes_completed_shortm,passes_shortm,passes_pct_shortm,passes_completed_mediumm,passes_mediumm,passes_pct_mediumm,passes_completed_longm,passes_longm,passes_pct_longm,xa_netm,assisted_shotsm,passes_into_final_thirdm,passes_into_penalty_aream,crosses_into_penalty_aream,progressive_passesm,passes_livem,passes_deadm,passes_free_kicksm,through_ballsm,passes_pressurem,passes_switchesm,crossesm,corner_kicksm,corner_kicks_inm,corner_kicks_outm,corner_kicks_straightm,passes_groundm,passes_lowm,passes_highm,passes_left_footm,passes_right_footm,passes_headm,throw_insm,passes_other_bodym,passes_offsidesm,passes_oobm,passes_interceptedm,passes_blockedm,scam,sca_per90m,sca_passes_livem,sca_passes_deadm,sca_dribblesm,sca_shotsm,sca_fouledm,gcam,gca_per90m,gca_passes_livem,gca_passes_deadm,gca_dribblesm,gca_shotsm,gca_fouledm,gca_og_form,tacklesm,tackles_wonm,tackles_def_3rdm,tackles_mid_3rdm,tackles_att_3rdm,dribble_tacklesm,dribbles_vsm,dribble_tackles_pctm,dribbled_pastm,pressuresm,pressure_regainsm,pressure_regain_pctm,pressures_def_3rdm,pressures_mid_3rdm,pressures_att_3rdm,blocksm,blocked_shotsm,blocked_shots_savesm,blocked_passesm,interceptionsm,clearancesm,errorsm,touchesm,touches_def_pen_aream,touches_def_3rdm,touches_mid_3rdm,touches_att_3rdm,touches_att_pen_aream,touches_live_ballm,dribbles_completedm,dribblesm,dribbles_completed_pctm,players_dribbled_pastm,nutmegsm,carriesm,carry_distancem,carry_progressive_distancem,pass_targetsm,passes_receivedm,passes_received_pctm,miscontrolsm,dispossessedm,cards_yellow_redm,foulsm,fouledm,offsidesm,pens_wonm,pens_concededm,own_goalsm,ball_recoveriesm,aerials_wonm,aerials_lostm,aerials_won_pctm,games_gkm,games_starts_gkm,minutes_gkm,goals_against_gkm,goals_against_per90_gkm,shots_on_target_againstm,savesm,save_pctm,wins_gkm,draws_gkm,losses_gkm,clean_sheetsm,clean_sheets_pctm,pens_att_gkm,pens_allowedm,pens_savedm,pens_missed_gkm,minutes_90s_gkm,free_kick_goals_against_gkm,corner_kick_goals_against_gkm,own_goals_against_gkm,psxg_gkm,psnpxg_per_shot_on_target_againstm,psxg_net_gkm,psxg_net_per90_gkm,passes_completed_launched_gkm,passes_launched_gkm,passes_pct_launched_gkm,passes_gkm,passes_throws_gkm,pct_passes_launched_gkm,passes_length_avg_gkm,goal_kicksm,pct_goal_kicks_launchedm,goal_kick_length_avgm,crosses_gkm,crosses_stopped_gkm,crosses_stopped_pct_gkm,def_actions_outside_pen_area_gkm,def_actions_outside_pen_area_per90_gkm,avg_distance_def_actions_gkm,LgRk,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90,Attendance,CL,WinCL,CLBestScorer,Season
379,Burgui,es ESP,FW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,Raphaël Varane,fr FRA,DF,Real Madrid,24,1993,70000000,191,Defender - Centre-Back,right,La Liga,27,27,2320,0,1,0,0,3,0,0,0.04,0.04,0,0.04,0.9,0.9,0.9,0.04,0.04,0.07,0.04,0.07,25.8,10,2,0,20,0.39,0.08,0,0,0.09,-0.9,-0.9,1169,1323,88.4,25454,8106,330,361,91.4,600,657,91.3,229,284,80.6,0.1,6,82,3,0,52,1298,25,24,1,193,41,1,0,0,0,0,1026,85,212,461,742,88,1,5,4,20,13,12,17,0.66,14,0,0,3,0,2,0.08,1,0,0,1,0,0,22,14,18,4,0,5,15,33.3,10,242,86,35.5,145,90,7,32,14,2,18,17,80,2,1504,179,788,753,70,19,1479,10,12,83.3,10,0,1031,6596,2986,992,973,98.1,3,3,0,17,12,0,0,0,0,272,31,11,73.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001751313,0,0,0.001751313,0,0,0.00028021,0.00028021,0,0.00028021,0.001225919,0.001225919,0.00262697,0.000192644,0.000402802,0.000595447,0.000192644,0.000595447,0.011033275,0.028021016,0.007005254,0,0.043782837,0.00441331,0.001103327,0,0,0.0000701,-0.001225919,-0.001225919,0.506129597,0.686514886,0.129071804,8.309982487,2.357267951,0.27145359,0.322241681,0.147460595,0.176882662,0.229422067,0.13502627,0.050788091,0.092819615,0.095796848,-0.001751313,0.022767075,0.024518389,0.029772329,0.008756567,0.063047285,0.514886165,0.024518389,0.001751313,0.003502627,0.068301226,0.007005254,0.029772329,0.001751313,0,0,0,0.392294221,0.070052539,0.077057793,0.161120841,0.320490368,0.028021016,0.021015762,0.00525394,0.003502627,0.010507881,0.017513135,0.028021016,0.050788091,0.004343257,0.042031524,0.003502627,0.001751313,0,0.001751313,0.003502627,0.000297723,0.003502627,0,0,0,0,0,0.017513135,0.012259194,0.00525394,0.010507881,0.001751313,0.008756567,0.024518389,0.062521891,0.015761821,0.164623468,0.052539405,0.0558669,0.036777583,0.092819615,0.03502627,0.010507881,0.001751313,0,0.008756567,0.003502627,0.00525394,0,0.677758319,0.017513135,0.094570928,0.309982487,0.316987741,0.054290718,0.65323993,0.008756567,0.019264448,0.079684764,0.008756567,0.001751313,0.523642732,3.073555166,1.929947461,0.556917688,0.483362522,0.152014011,0.021015762,0.024518389,0,0.014010508,0.012259194,0,0,0,0,0.119089317,0.003502627,0.008756567,0.050087566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,22,10,6,94,44,50,76,2,83.3,45.4,37.9,1,66161,1,1,0,201718#
721,Rubén Duarte,es ESP,DF,Alavés,21,1995,2000000,179,Defender - Left-Back,left,La Liga,24,24,2138,0,2,0,0,9,2,0,0.08,0.08,0,0.08,0.5,0.5,1.6,0.02,0.07,0.09,0.02,0.09,23.8,8,1,0,12.5,0.34,0.04,0,0,0.06,-0.5,-0.5,660,963,68.5,11820,5822,311,366,85,271,373,72.7,71,200,35.5,0.4,18,41,21,8,62,748,215,5,1,153,22,36,1,0,0,0,394,177,392,545,87,100,209,2,14,30,12,25,34,1.43,27,1,0,1,5,2,0.08,0,0,0,0,2,0,54,29,32,19,3,18,49,36.7,31,345,83,24.1,213,99,33,74,11,1,63,30,51,0,1217,107,440,531,293,19,1003,11,12,91.7,11,1,537,2738,1412,511,463,90.6,5,13,1,48,35,1,0,2,0,283,22,15,59.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000584795,0,0,0,0,0,0,0,0,0.0000585,0,0,0,0,0,0.011111111,0,0,0,0,0,0,0,0,0,0,0,0.115789474,0.347368421,0.009736842,6.807894737,5.936549708,0.001169591,0.001461988,0.023391813,0.010526316,0.011695906,0.026315789,0.104093567,0.333918129,0.009122807,-0.0000585,0.000877193,0.019005848,0,0,0,0.210233918,0.137134503,0.043859649,0.000292398,0.028947368,0.005847953,0,0,0,0,0,0.014327485,0.005555556,0.32748538,0.013450292,0.270760234,0,0,0.014327485,0.001754386,0.017836257,0.002046784,0.000584795,0.001754386,0.0000468,0.001169591,0.000584795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000292398,0,0.000292398,0.000584795,0,0,0.000292398,0,0.000292398,0,0,0,0,0,0,0,0.385380117,0.314619883,0.376023392,0.009649123,0,0,0.25,0,0,0,0,0,0.169590643,1.059356725,0.633625731,0.120760234,0.120175439,0.029093567,0,0,0,0,0.001461988,0,0,0,0,0.064327485,0,0,0,0.011111111,0.011111111,1,0.020175439,0.000532164,0.05877193,0.039473684,0.000197953,0.002923977,0.001169591,0.007017544,0.002923977,0.007690058,0.002046784,0.001169591,0.000877193,0,0.011111111,0.000292398,0.003508772,0,0.020175439,0.0000936,0,0,0.097368421,0.32251462,0.008830409,0.254093567,0.014327485,0.026432749,0.018011696,0.093274854,0.029064327,0.020643275,0.087426901,0.006432749,0.002163743,0.011111111,0.000292398,0.004736842,14,38,15,2,21,40,50,-10,47,1.24,39,53.2,-14.2,-0.37,16,,,,
2512,Samuel Umtiti,fr FRA,DF,Barcelona,23,1993,60000000,182,Defender - Centre-Back,left,La Liga,25,24,2189,1,0,0,0,7,0,0.04,0,0.04,0.04,0.04,1.1,1.1,0,0.05,0,0.05,0.05,0.05,24.3,11,6,0,54.5,0.45,0.25,0.09,0.17,0.1,-0.1,-0.1,1435,1591,90.2,28492,9925,468,514,91.1,760,804,94.5,200,252,79.4,0,1,118,1,0,90,1567,24,19,1,236,23,0,0,0,0,0,1345,106,140,1226,252,71,5,8,2,21,10,23,10,0.41,9,0,0,0,1,1,0.04,0,0,0,0,1,0,40,26,27,12,1,12,23,52.2,11,211,85,40.3,124,77,10,30,15,0,15,30,55,0,1768,214,855,956,78,17,1747,6,8,75,6,1,1318,7973,4639,1272,1251,98.3,7,4,0,23,25,4,0,0,0,248,41,12,77.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003898635,0,0,0,0,0,0,0.000194932,0.000194932,0.000682261,0.00000975,0.0000585,0.000078,0.00000975,0.000078,0.011111111,0.002923977,0.000974659,0,0.03245614,0.000253411,0.0000877,0,0,0.0000487,-0.000194932,-0.000194932,0.571150097,0.622807018,0.089376218,11.44249513,3.133528265,0.167641326,0.178362573,0.091617934,0.335282651,0.352826511,0.092592593,0.063352827,0.084795322,0.072807018,-0.000682261,0.003898635,0.026315789,0.001949318,0,0.01754386,0.591617934,0.031189084,0.031189084,0.001949318,0.06920078,0.010721248,0.001949318,0,0,0,0,0.525341131,0.043859649,0.053606238,0.134502924,0.442495127,0.036062378,0,0.000974659,0.001949318,0.003898635,0.004873294,0.002923977,0.006822612,0.000594542,0.005847953,0,0.000974659,0,0,0,0,0,0,0,0,0,0,0.021442495,0.009746589,0.014619883,0.005847953,0.000974659,0.006822612,0.00877193,0.07582846,0.001949318,0.126705653,0.036062378,0.027777778,0.082846004,0.036062378,0.007797271,0.025341131,0.015594542,0,0.009746589,0.005847953,0.061403509,0.000974659,0.7417154,0.085769981,0.365497076,0.40545809,0.022417154,0.007797271,0.710526316,0.002923977,0.003898635,0.073099415,0.002923977,0,0.476608187,2.952241715,1.544834308,0.504873294,0.496101365,0.095808967,0.000974659,0.000974659,0,0.00877193,0.007797271,0,0,0,0,0.096491228,0.021442495,0.010721248,0.065009747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,28,9,1,99,29,70,93,2.45,78.3,41.1,37.2,0.98,66603,1,0,0,201718#
882,Manu García,es ESP,MF,Alavés,31,1986,1800000,183,midfield - Defensive Midfield,left,La Liga,30,27,2438,3,0,0,2,9,0,0.11,0,0.11,0.11,0.11,3.1,1.6,1.4,0.11,0.05,0.17,0.06,0.11,27.1,26,8,0,30.8,0.96,0.3,0.12,0.38,0.06,-0.1,1.4,724,997,72.6,13562,3815,312,398,78.4,302,391,77.2,100,174,57.5,-1.4,15,92,5,2,65,979,18,7,1,233,26,11,0,0,0,0,650,105,242,564,269,118,8,2,7,34,19,27,41,1.51,29,0,4,2,6,2,0.07,2,0,0,0,0,0,90,69,38,44,8,20,78,25.6,58,615,145,23.6,221,337,57,40,9,0,31,32,55,0,1327,82,365,808,213,39,1308,17,21,81,17,0,818,3811,1714,865,732,84.6,23,22,0,66,72,5,0,0,0,292,42,30,58.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004484305,0,0,0,0,0,0,0.000224215,0.000224215,0.000224215,0.0000448,0.0000224,0.0000673,0.0000448,0.0000673,0.011210762,0.006726457,0.002242152,0,0.074663677,0.001367713,0.00044843,0,0,0.0000673,-0.000224215,-0.000224215,0.51793722,0.582959641,0.199103139,10.15919283,2.497757848,0.17264574,0.19058296,0.203139013,0.275784753,0.30044843,0.205829596,0.058295964,0.076233184,0.171524664,-0.000224215,0.002242152,0.051569507,0.002242152,0,0.042600897,0.551569507,0.031390135,0.029147982,0.002242152,0.076233184,0.015695067,0.002242152,0,0,0,0,0.484304933,0.022421525,0.076233184,0.040358744,0.502242152,0.02690583,0.002242152,0,0,0.002242152,0.006726457,0.002242152,0.013452915,0.002713004,0.006726457,0,0,0.002242152,0,0,0,0,0,0,0,0,0,0.029147982,0.022421525,0.013452915,0.00896861,0.006726457,0.00896861,0.015695067,0.128026906,0.006726457,0.103139013,0.042600897,0.092600897,0.038116592,0.051569507,0.013452915,0.011210762,0.004484305,0,0.006726457,0.020179372,0.049327354,0,0.701793722,0.038116592,0.251121076,0.414798206,0.085201794,0.013452915,0.670403587,0.00896861,0.00896861,0.224215247,0.00896861,0,0.497757848,2.820627803,1.459641256,0.488789238,0.466367713,0.213901345,0.00896861,0.00896861,0,0.01793722,0.015695067,0,0,0,0,0.096412556,0.024663677,0.015695067,0.136995516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,38,15,2,21,40,50,-10,47,1.24,39,53.2,-14.2,-0.37,16,,,,
940,Ibai Gómez,es ESP,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,John Guidetti,se SWE,FW,Alavés,25,1992,5000000,185,attack - Centre-Forward,right,La Liga,17,15,1210,3,2,0,0,3,0,0.22,0.15,0.37,0.22,0.37,3.4,3.4,2.1,0.25,0.15,0.4,0.25,0.4,13.4,29,12,3,41.4,2.16,0.89,0.1,0.25,0.12,-0.4,-0.4,227,345,65.8,3416,977,140,196,71.4,63,99,63.6,19,35,54.3,-0.1,13,25,7,1,28,342,3,0,0,90,7,13,1,0,0,0,200,67,78,56,213,50,1,15,4,8,13,14,30,2.19,22,0,2,2,3,7,0.51,5,0,0,1,1,0,6,4,3,0,3,2,8,25,6,277,65,23.5,26,155,96,13,3,0,10,4,4,0,54,0,4,19,34,13,54,2,2,100,2,0,45,231,85,65,49,75.4,3,7,0,2,0,1,0,0,0,4,2,1,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000503271,0.001509814,0,0,0.001006543,0.000503271,0.0000252,0.0000705,0.0000906,0.0000252,0.0000906,0.000855561,0.000855561,0.000754907,0.0000403,0.0000352,0.0000755,0.0000403,0.0000755,0.011122295,0.00805234,0.000503271,0,0.003170609,0.000362355,0.0000252,0.0000302,0.000503271,0.0000554,-0.00035229,-0.00035229,0.780070458,0.905385003,0.043381983,16.10920986,3.566683442,0.257171616,0.283341721,0.045697031,0.375440362,0.412179165,0.045848012,0.138399597,0.184700554,0.037695018,0.000754907,0.007045798,0.097131354,0.013588324,0.003522899,0.066935078,0.867639658,0.037745345,0.017614494,0.001006543,0.127830901,0.024660292,0.015601409,0,0,0,0,0.662304982,0.09562154,0.14745848,0.10770005,0.739305486,0.033719175,0.017111223,0.000503271,0.001509814,0.011575239,0.009562154,0.017614494,0.017614494,0.000800201,0.01610468,0.000503271,0,0.000503271,0,0.003019628,0.000135883,0.003019628,0,0,0,0,0,0.022143936,0.018621037,0.00805234,0.012581782,0.001509814,0.005535984,0.018621037,0.014947157,0.013085053,0.241570206,0.066431807,0.01383996,0.080020131,0.122798188,0.038751887,0.021137393,0.001509814,0,0.019627579,0.011071968,0.011071968,0,0.998993457,0.017614494,0.162053347,0.680926019,0.202315048,0.018621037,0.963764469,0.004529441,0.009058883,0.025163563,0.006542526,0.002013085,0.739305486,3.035228988,1.311021641,0.789632612,0.745344741,0.047508807,0.009562154,0.006039255,0.000503271,0.013085053,0.006039255,0.001006543,0,0,0,0.139909411,0.00805234,0.00805234,0.025163563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,38,15,2,21,40,50,-10,47,1.24,39,53.2,-14.2,-0.37,16,,,,
1027,Munir El Haddadi,es ESP,FW,Alavés,21,1995,12000000,175,attack - Centre-Forward,left,La Liga,33,28,2436,10,6,0,0,8,2,0.37,0.22,0.59,0.37,0.59,8.8,8.8,3.6,0.32,0.13,0.45,0.32,0.45,27.1,62,24,5,38.7,2.29,0.89,0.16,0.42,0.14,1.2,1.2,463,704,65.8,7431,1994,272,347,78.4,133,199,66.8,44,108,40.7,2.4,41,25,27,10,46,604,100,36,3,157,38,45,33,0,1,0,443,84,177,543,75,59,4,8,6,20,24,39,88,3.23,50,11,5,3,18,12,0.44,7,2,1,1,1,0,22,14,7,6,9,3,14,21.4,11,530,124,23.4,34,300,196,15,1,0,14,9,2,0,1058,7,63,457,613,100,967,36,59,61,40,1,771,4335,1925,1207,729,60.4,81,71,1,33,114,45,0,0,0,128,18,40,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001269841,0,0,0,0,0,0.0000698,0,0.0000698,0.0000698,0.0000698,0.000761905,0.000761905,0.000253968,0.0000444,0.0000127,0.0000571,0.0000444,0.0000571,0.011111111,0.011428571,0.002539683,0.000634921,0.014095238,0.000653968,0.000146032,0.0000698,0.00031746,0.0000444,0.000507937,0.000507937,0.243809524,0.33968254,0.045587302,5.274920635,2.457777778,0.073650794,0.084444444,0.055365079,0.122539683,0.153650794,0.050666667,0.046349206,0.094603175,0.031111111,-0.0000635,0.001269841,0.029206349,0.001269841,0,0.02984127,0.52,0.022222222,0.020952381,0,0.092063492,0.017142857,0.000634921,0,0,0,0,0.336507937,0.055238095,0.15047619,0.384761905,0.088888889,0.047619048,0.001269841,0.002539683,0.001904762,0.013968254,0.003174603,0.014603175,0.006349206,0.000546032,0.002539683,0.001269841,0,0,0.000634921,0.000634921,0.0000571,0.000634921,0,0,0,0,0,0.028571429,0.018412698,0.021587302,0.006349206,0.000634921,0.015873016,0.024761905,0.040698413,0.008888889,0.085714286,0.033650794,0.024952381,0.050793651,0.031746032,0.003174603,0.019047619,0.006984127,0.000634921,0.012063492,0.012063492,0.048253968,0,0.665396825,0.088253968,0.389206349,0.297777778,0.028571429,0.011428571,0.645714286,0.001904762,0.002539683,0.047619048,0.001904762,0,0.376507937,2.441904762,1.304761905,0.373333333,0.367619048,0.062539683,0.003174603,0.005079365,0,0.010793651,0.01015873,0.001269841,0,0,0,0.158730159,0.025396825,0.011428571,0.043809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,38,15,2,21,40,50,-10,47,1.24,39,53.2,-14.2,-0.37,16,,,,
1072,Héctor Hernández,es ESP,MF,Alavés,26,1991,30000,171,Defender - Left-Back,left,La Liga,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,11,13,84.6,220,63,4,5,80,5,5,100,2,3,66.7,0,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,0,10,0,3,4,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,4,1,25,2,2,0,0,0,0,0,0,2,0,18,2,5,9,4,1,18,0,0,0,0,0,13,41,20,12,11,91.7,2,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004580153,0,0.001017812,0.001017812,0.001526718,0,0.000208651,0,0.000208651,0.00016285,0.00016285,0.003765903,0.003002545,0.000458015,0.000173028,0.0000204,0.000193384,0.000137405,0.000157761,0.011094148,0.022900763,0.009669211,0.000508906,0.021475827,0.001048346,0.000442748,0.0000814,0.000188295,0.0000662,0.000814249,0.000559796,0.138931298,0.208651399,0.03389313,2.017302799,0.32264631,0.08346056,0.105852417,0.040101781,0.040712468,0.063104326,0.032824427,0.009669211,0.022391858,0.021984733,-0.000458015,0.00610687,0.005597964,0.004071247,0.001526718,0.008142494,0.179643766,0.029007634,0,0,0.05648855,0.004071247,0.007633588,0,0,0,0,0.127735369,0.046819338,0.034096692,0.037659033,0.128753181,0.018320611,0.000508906,0.007124682,0.001526718,0.008142494,0.003053435,0.01221374,0.017302799,0.000793893,0.010687023,0,0.003562341,0.001526718,0.001017812,0.002544529,0.000117048,0.000508906,0,0.000508906,0.001017812,0.000508906,0,0.008651399,0.006615776,0.004071247,0.002544529,0.002035623,0.001526718,0.011195929,0.00692112,0.009669211,0.215267176,0.045801527,0.010839695,0.025445293,0.094656489,0.095165394,0.015776081,0.002035623,0,0.013740458,0.002035623,0.014249364,0,0.374554707,0.017302799,0.061068702,0.174554707,0.158778626,0.052417303,0.344020356,0.019338422,0.030025445,0.032773537,0.019847328,0.001017812,0.254961832,1.62697201,0.594910941,0.562849873,0.251908397,0.022798982,0.036132316,0.029007634,0,0.028498728,0.016793893,0.01475827,0.000508906,0,0,0.038167939,0.021882952,0.039185751,0.01821883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,38,15,2,21,40,50,-10,47,1.24,39,53.2,-14.2,-0.37,16,,,,
1259,Aleksandar Katai,rs SRB,FW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
